time,time,d13c,d18O
61.001583,61001.583,1.4934136,0.75382179
61.005048,61005.048,1.4890447,0.7764051
61.007358,61007.358,1.4693019,0.74310732
61.010824,61010.824,1.4396549,0.68484479
61.015444,61015.444,1.4113243,0.65119386
61.018909,61018.909,1.3941396,0.68160486
61.022375,61022.375,1.3842052,0.73762083
61.02584,61025.84,1.3710688,0.75195694
61.029305,61029.305,1.3547264,0.68047541
61.033926,61033.926,1.3399258,0.57434803
61.036236,61036.236,1.334275,0.50925452
61.050097,61050.097,1.3420609,0.51223671
61.055873,61055.873,1.3600982,0.53774589
61.060493,61060.493,1.3802294,0.55257517
61.063959,61063.959,1.3992829,0.57892084
61.067424,61067.424,1.4151598,0.63631827
61.070889,61070.889,1.4255289,0.68756962
61.07551,61075.51,1.4268702,0.68605918
61.07782,61077.82,1.4258622,0.65631938
61.081285,61081.285,1.4321946,0.64991713
61.08475,61084.75,1.446864,0.66564614
61.088216,61088.216,1.4600027,0.69387138
61.091681,61091.681,1.4547664,0.7140426
61.097457,61097.457,1.4216882,0.71311104
61.102077,61102.077,1.35928,0.69269437
61.105542,61105.542,1.2931539,0.66096288
61.109008,61109.008,1.2544922,0.6378603
61.115938,61115.938,1.2550211,0.64266402
61.119404,61119.404,1.2673587,0.67501247
61.122869,61122.869,1.2640254,0.70307374
61.126334,61126.334,1.235823,0.69891977
61.1298,61129.8,1.2000029,0.64939731
61.13673,61136.73,1.1687601,0.58637553
61.13904,61139.04,1.1471059,0.54945976
61.142506,61142.506,1.1295556,0.56382078
61.147126,61147.126,1.1125598,0.59968853
61.154057,61154.057,1.1008117,0.61425716
61.157522,61157.522,1.078689,0.58129591
61.160987,61160.987,1.0248981,0.53070778
61.167918,61167.918,0.96022147,0.50388765
61.178314,61178.314,0.91375065,0.51288742
61.180624,61180.624,0.91150194,0.53360176
61.18409,61184.09,0.9408676,0.55318999
61.18871,61188.71,0.97300315,0.58459657
61.192175,61192.175,0.98124617,0.63008493
61.195641,61195.641,0.96663868,0.66079277
61.199106,61199.106,0.94189286,0.64562267
61.202571,61202.571,0.93434381,0.59980279
61.206037,61206.037,0.95010567,0.56395906
61.209502,61209.502,0.97005862,0.56093341
61.212967,61212.967,0.96878254,0.57105368
61.216433,61216.433,0.94523883,0.57117498
61.219898,61219.898,0.91687959,0.56596977
61.223363,61223.363,0.89703369,0.56317711
61.225673,61225.673,0.87427419,0.54425126
61.229139,61229.139,0.82891947,0.4736239
61.24069,61240.69,0.74973512,0.35856175
61.257306,61257.306,0.67017657,0.24477178
61.265889,61265.889,0.63759691,0.18234546
61.277334,61277.334,0.68236601,0.17830536
61.283056,61283.056,0.76211613,0.21375498
61.291639,61291.639,0.81509387,0.25093728
61.295931,61295.931,0.80639732,0.26017943
61.300223,61300.223,0.76555479,0.23471127
61.304514,61304.514,0.72745842,0.17595066
61.308806,61308.806,0.71252447,0.11299811
61.31739,61317.39,0.71595126,0.080607459
61.321681,61321.681,0.73480469,0.11230355
61.328834,61328.834,0.7690872,0.18313585
61.333126,61333.126,0.80478132,0.24014516
61.34314,61343.14,0.81792295,0.23653679
61.347047,61347.047,0.7919538,0.1875595
61.350184,61350.184,0.75037241,0.13331932
61.359596,61359.596,0.72929931,0.10112305
61.365871,61365.871,0.77579308,0.090356298
61.374237,61374.237,0.87596422,0.099243194
61.384695,61384.695,0.97451109,0.1053856
61.387833,61387.833,1.0219407,0.10750666
61.394108,61394.108,1.0288464,0.13551244
61.397245,61397.245,1.0300558,0.2210982
61.400382,61400.382,1.0527091,0.33879167
61.40352,61403.52,1.0939581,0.43274763
61.406657,61406.657,1.1436478,0.47534472
61.409794,61409.794,1.2139175,0.49090278
61.415023,61415.023,1.2718467,0.50148833
61.419207,61419.207,1.2705255,0.50979483
61.422344,61422.344,1.2407234,0.502074
61.425481,61425.481,1.2212151,0.47572964
61.428619,61428.619,1.2298415,0.44206741
61.431756,61431.756,1.2459583,0.42439044
61.434893,61434.893,1.250613,0.43809897
61.441168,61441.168,1.2419957,0.47925991
61.444306,61444.306,1.2370379,0.52094334
61.447443,61447.443,1.2448986,0.54405421
61.452672,61452.672,1.2660275,0.55276144
61.459993,61459.993,1.2833235,0.55630469
61.46313,61463.13,1.2796196,0.54319471
61.466267,61466.267,1.2433872,0.48652431
61.469405,61469.405,1.1930022,0.40641761
61.472542,61472.542,1.1561534,0.36193281
61.475679,61475.679,1.1552179,0.40272561
61.478817,61478.817,1.169163,0.49035057
61.481954,61481.954,1.1605633,0.55171406
61.485092,61485.092,1.1170279,0.5510093
61.500779,61500.779,1.0616803,0.52406192
61.503916,61503.916,1.0103678,0.50522673
61.507053,61507.053,0.95582265,0.49393603
61.516465,61516.465,0.90409184,0.47360981
61.519603,61519.603,0.90011179,0.45458469
61.526923,61526.923,0.95349413,0.44240436
61.531107,61531.107,1.0470698,0.44775888
61.538427,61538.427,1.1464967,0.48870432
61.544702,61544.702,1.2182895,0.59200621
61.549931,61549.931,1.2465646,0.68832785
61.550977,61550.977,1.241305,0.70784426
61.554114,61554.114,1.2241814,0.68694586
61.557251,61557.251,1.1968428,0.65885842
61.563526,61563.526,1.1637354,0.63111949
61.566664,61566.664,1.1341398,0.59906209
61.568755,61568.755,1.1169562,0.57760477
61.571892,61571.892,1.1055667,0.56006896
61.576076,61576.076,1.0883873,0.5348621
61.579213,61579.213,1.0668693,0.50953215
61.58235,61582.35,1.0486777,0.5241341
61.585488,61585.488,1.0355045,0.57556492
61.588625,61588.625,1.0198407,0.60663527
61.591763,61591.763,1.0115052,0.55669349
61.5949,61594.9,1.0151353,0.45601523
61.601175,61601.175,1.0154495,0.38380197
61.604312,61604.312,0.98971695,0.38689578
61.617907,61617.907,0.95316863,0.42605156
61.62523,61625.23,0.93866467,0.45133993
61.639615,61639.615,0.94306368,0.43971509
61.644845,61644.845,0.9540258,0.42173618
61.648769,61648.769,0.95393151,0.42788142
61.652692,61652.692,0.94669372,0.47304887
61.657922,61657.922,0.95227098,0.53204829
61.665769,61665.769,0.98087406,0.57522535
61.668384,61668.384,1.0121657,0.58698595
61.672307,61672.307,1.020282,0.57962197
61.677538,61677.538,0.99321038,0.56530857
61.681461,61681.461,0.94824904,0.53734165
61.685384,61685.384,0.90350115,0.49249297
61.69323,61693.23,0.86352414,0.44815108
61.697154,61697.154,0.82818574,0.42387155
61.699769,61699.769,0.80855507,0.42140681
61.703692,61703.692,0.80712342,0.43144083
61.707615,61707.615,0.81346226,0.45817715
61.712846,61712.846,0.81926012,0.494086
61.716769,61716.769,0.81678766,0.51225132
61.719385,61719.385,0.79758722,0.4602122
61.723179,61723.179,0.75225556,0.3583903
61.726717,61726.717,0.69037485,0.28919369
61.731433,61731.433,0.64286822,0.32188845
61.734971,61734.971,0.63234401,0.40667692
61.738508,61738.508,0.6502822,0.44737142
61.742046,61742.046,0.67506027,0.40042034
61.744404,61744.404,0.70963192,0.33665836
61.746763,61746.763,0.75351721,0.33147731
61.756196,61756.196,0.79702884,0.39441356
61.759733,61759.733,0.82931018,0.4655517
61.76445,61764.45,0.86269057,0.51610583
61.765629,61765.629,0.9077695,0.54837573
61.770346,61770.346,0.9510951,0.581563
61.775063,61775.063,0.97175682,0.61223483
61.777421,61777.421,0.97214019,0.63805568
61.782138,61782.138,0.97373784,0.65495789
61.784496,61784.496,0.99438828,0.65691078
61.786854,61786.854,1.0176673,0.63087547
61.791571,61791.571,1.0136728,0.58633322
61.793929,61793.929,0.94976455,0.55103362
61.802184,61802.184,0.85467428,0.54125136
61.805721,61805.721,0.7905587,0.54780585
61.808079,61808.079,0.79077244,0.56026334
61.811617,61811.617,0.82556206,0.57432389
61.816334,61816.334,0.86242217,0.58878255
61.819871,61819.871,0.89521182,0.59784812
61.823409,61823.409,0.91455436,0.59247315
61.826946,61826.946,0.89469457,0.57333243
61.829305,61829.305,0.8539179,0.54921782
61.841096,61841.096,0.8209269,0.53852212
61.844634,61844.634,0.81670994,0.54650003
61.848171,61848.171,0.83660156,0.56223577
61.85053,61850.53,0.8708235,0.56709641
61.856425,61856.425,0.92306232,0.55962145
61.861142,61861.142,0.98388094,0.55465442
61.86468,61864.68,1.0238153,0.55887908
61.870576,61870.576,0.99249578,0.55793357
61.875292,61875.292,0.97758275,0.55011183
61.882367,61882.367,0.98820591,0.54660499
61.885905,61885.905,1.0001171,0.53920269
61.889442,61889.442,0.99312872,0.52341282
61.89298,61892.98,0.96832585,0.50791937
61.896517,61896.517,0.94780016,0.5042761
61.900055,61900.055,0.94287384,0.49928063
61.903592,61903.592,0.94414896,0.47961938
61.90713,61907.13,0.94135374,0.45667943
61.909488,61909.488,0.94449991,0.45616019
61.913026,61913.026,0.96290642,0.48786366
61.917742,61917.742,0.98909867,0.53933078
61.92128,61921.28,1.0078979,0.58739161
61.924817,61924.817,1.0104734,0.61813354
61.928355,61928.355,1.0072682,0.63298351
61.931892,61931.892,1.0120138,0.63869905
61.93543,61935.43,1.0237511,0.64145607
61.938967,61938.967,1.033062,0.64180875
61.942505,61942.505,1.0409895,0.63569027
61.946042,61946.042,1.0524756,0.63439602
61.94958,61949.58,1.0642506,0.63347185
61.953117,61953.117,1.065039,0.61236835
61.955476,61955.476,1.0459814,0.57053977
61.959013,61959.013,1.0154458,0.52014214
61.96373,61963.73,0.98799849,0.4845759
61.967268,61967.268,0.95851481,0.48016256
61.970805,61970.805,0.92160153,0.51563132
61.975522,61975.522,0.89142221,0.56455112
61.97788,61977.88,0.89404774,0.5905031
61.981418,61981.418,0.91806149,0.57062262
61.984955,61984.955,0.92139542,0.52085543
61.988493,61988.493,0.84857649,0.46299806
61.99203,61992.03,0.71518171,0.39704546
61.997926,61997.926,0.58571821,0.32225335
62.003822,62003.822,0.52166039,0.25930938
62.006173,62006.173,0.49765125,0.22965665
62.009691,62009.691,0.4692367,0.22518381
62.013208,62013.208,0.44124365,0.22224683
62.016725,62016.725,0.42185342,0.20382255
62.020242,62020.242,0.439033,0.19003603
62.023759,62023.759,0.49486735,0.21296544
62.030793,62030.793,0.55871469,0.27377522
62.03431,62034.31,0.61684465,0.33427423
62.037828,62037.828,0.67079079,0.36750743
62.041345,62041.345,0.712807,0.38560942
62.04369,62043.69,0.7463544,0.41748255
62.053069,62053.069,0.77917463,0.46132368
62.055413,62055.413,0.80994278,0.49204183
62.05893,62058.93,0.83256376,0.49527794
62.062448,62062.448,0.8420974,0.48532638
62.065965,62065.965,0.83895057,0.48359799
62.069482,62069.482,0.82612723,0.49044141
62.072999,62072.999,0.79779768,0.4885579
62.076516,62076.516,0.74111837,0.45525959
62.080033,62080.033,0.65454859,0.39366713
62.085895,62085.895,0.55678302,0.32519466
62.089412,62089.412,0.4653312,0.26106626
62.097619,62097.619,0.39614657,0.21154918
62.101136,62101.136,0.35620725,0.19662216
62.104653,62104.653,0.34955996,0.21720842
62.108327,62108.327,0.36663485,0.2454166
62.112313,62112.313,0.38765556,0.25800362
62.116299,62116.299,0.40135902,0.24831221
62.120286,62120.286,0.40289158,0.23160772
62.124272,62124.272,0.40462205,0.21753114
62.128258,62128.258,0.42112088,0.18507949
62.132245,62132.245,0.48721892,0.17420585
62.134902,62134.902,0.60688031,0.24955949
62.138889,62138.889,0.74837542,0.37346876
62.144204,62144.204,0.88897979,0.4935275
62.152176,62152.176,1.0106316,0.58317816
62.156163,62156.163,1.0885949,0.64750355
62.160149,62160.149,1.1048462,0.68155831
62.164135,62164.135,1.0862077,0.68392611
62.166793,62166.793,1.0752126,0.67059451
62.170779,62170.779,1.0920186,0.66272372
62.174765,62174.765,1.1193756,0.66841662
62.178752,62178.752,1.1437043,0.67685038
62.182738,62182.738,1.1568148,0.68079638
62.186724,62186.724,1.1613381,0.6835863
62.190711,62190.711,1.1599276,0.69222641
62.194697,62194.697,1.157315,0.70499992
62.198683,62198.683,1.1531996,0.7163139
62.201341,62201.341,1.1322438,0.72072369
62.205327,62205.327,1.0999126,0.71673512
62.211971,62211.971,1.0825148,0.70545828
62.214629,62214.629,1.1099627,0.69436818
62.218615,62218.615,1.1706463,0.69151789
62.222601,62222.601,1.2285914,0.70056134
62.226588,62226.588,1.2599261,0.71525586
62.230574,62230.574,1.2661583,0.72880971
62.23456,62234.56,1.2493834,0.73807716
62.242533,62242.533,1.2217833,0.74140686
62.246519,62246.519,1.1931477,0.73424888
62.249177,62249.177,1.1619835,0.71914822
62.253163,62253.163,1.1177702,0.71032101
62.257149,62257.149,1.0670726,0.72072399
62.263793,62263.793,1.0340265,0.75339854
62.26778,62267.78,1.0360231,0.7895301
62.271766,62271.766,1.0569217,0.80929136
62.275752,62275.752,1.0705594,0.80829519
62.279739,62279.739,1.0650833,0.79940313
62.281067,62281.067,1.0485375,0.78866112
62.286382,62286.382,1.0246042,0.78033811
62.291698,62291.698,0.9955613,0.76650512
62.295684,62295.684,0.96695739,0.73491085
62.29967,62299.67,0.93928874,0.67689669
62.303602,62303.602,0.91800725,0.61610818
62.307506,62307.506,0.91913456,0.58875036
62.310109,62310.109,0.9581182,0.60841167
62.315314,62315.314,1.0140606,0.64134055
62.319218,62319.218,1.048466,0.65273213
62.323122,62323.122,1.0397121,0.62059009
62.327026,62327.026,1.0125524,0.5883705
62.330931,62330.931,0.99805415,0.58709055
62.333533,62333.533,1.008036,0.5971542
62.337437,62337.437,1.0190406,0.60601467
62.341341,62341.341,1.009221,0.60562521
62.346547,62346.547,0.97792482,0.59961814
62.350451,62350.451,0.94694722,0.59296566
62.354355,62354.355,0.92811239,0.58980519
62.358259,62358.259,0.91909903,0.58891183
62.362163,62362.163,0.90886724,0.58721453
62.363465,62363.465,0.8961637,0.59243989
62.369972,62369.972,0.87703067,0.62538934
62.375177,62375.177,0.87618476,0.62604451
62.37778,62377.78,0.89223897,0.6087501
62.380383,62380.383,0.89275587,0.58894742
62.384287,62384.287,0.7629835,0.57197756
62.392095,62392.095,0.72501338,0.57357335
62.393396,62393.396,0.7573536,0.58685595
62.3973,62397.3,0.82185584,0.60451716
62.402506,62402.506,0.86424023,0.60708869
62.407711,62407.711,0.84364408,0.58018482
62.411615,62411.615,0.7905252,0.53648758
62.41552,62415.52,0.75758457,0.49712998
62.419424,62419.424,0.78453153,0.4673394
62.423328,62423.328,0.84152555,0.44459498
62.431136,62431.136,0.87694246,0.43840742
62.43504,62435.04,0.86797851,0.46108422
62.438944,62438.944,0.85082942,0.49860397
62.442848,62442.848,0.86237037,0.52098399
62.445451,62445.451,0.91312647,0.50610083
62.449355,62449.355,0.96790892,0.47321188
62.454561,62454.561,0.99502248,0.45440534
62.458465,62458.465,0.98360538,0.4702698
62.462369,62462.369,0.95432317,0.50101012
62.466273,62466.273,0.92277151,0.51813912
62.470177,62470.177,0.89559627,0.4959476
62.474081,62474.081,0.87500358,0.45382881
62.477985,62477.985,0.86992919,0.43094903
62.481889,62481.889,0.89350861,0.45659354
62.485794,62485.794,0.93237221,0.50674522
62.489698,62489.698,0.95569849,0.54061687
62.493602,62493.602,0.93678516,0.53041261
62.496204,62496.204,0.88696843,0.48763162
62.500109,62500.109,0.83248442,0.43042946
62.505314,62505.314,0.79244715,0.36662009
62.509218,62509.218,0.76810199,0.30734256
62.513122,62513.122,0.75888181,0.27574012
62.517026,62517.026,0.75432235,0.2750515
62.520931,62520.931,0.74228603,0.28045422
62.524835,62524.835,0.71969563,0.27299997
62.527437,62527.437,0.69671208,0.24407904
62.532643,62532.643,0.69436353,0.21772712
62.536547,62536.547,0.72587311,0.22396401
62.540451,62540.451,0.79335833,0.26335001
62.545657,62545.657,0.87148094,0.3103492
62.552163,62552.163,0.9322806,0.35583684
62.556067,62556.067,0.96033025,0.40519014
62.559972,62559.972,0.96446109,0.44070339
62.563876,62563.876,0.9531008,0.41862714
62.56778,62567.78,0.92504054,0.29217502
62.575588,62575.588,0.89600074,0.12638348
62.579492,62579.492,0.8946023,0.045237344
62.583396,62583.396,0.91823417,0.12137192
62.587496,62587.496,0.95386982,0.27091384
62.593485,62593.485,0.99465215,0.38308492
62.594982,62594.982,1.0356541,0.39649752
62.599474,62599.474,1.0667439,0.372462
62.605463,62605.463,1.0905306,0.38424727
62.611451,62611.451,1.1168905,0.45336491
62.614446,62614.446,1.1465921,0.52330202
62.618937,62618.937,1.1772488,0.55029082
62.623429,62623.429,1.1954354,0.53809732
62.626423,62626.423,1.1853622,0.52540958
62.632412,62632.412,1.1378216,0.52084273
62.636904,62636.904,1.0778663,0.50937235
62.641395,62641.395,1.0410972,0.47894123
62.647384,62647.384,1.0467492,0.44261539
62.648881,62648.881,1.0804507,0.43668965
62.653373,62653.373,1.1273931,0.4647963
62.663853,62663.853,1.1701044,0.49100757
62.668345,62668.345,1.1956079,0.47680652
62.672836,62672.836,1.1958383,0.43563804
62.677328,62677.328,1.1817863,0.40951693
62.681819,62681.819,1.1725725,0.41527644
62.686311,62686.311,1.1723267,0.42755088
62.690802,62690.802,1.1674075,0.42505673
62.695294,62695.294,1.1518987,0.42351407
62.701283,62701.283,1.1415174,0.44008619
62.704277,62704.277,1.1431992,0.45565423
62.707272,62707.272,1.149496,0.47770157
62.711763,62711.763,1.1545491,0.5096336
62.717752,62717.752,1.151195,0.52621454
62.722243,62722.243,1.1364776,0.48093206
62.726735,62726.735,1.1108491,0.41094223
62.731227,62731.227,1.0944653,0.40564561
62.737215,62737.215,1.1019003,0.46136534
62.74021,62740.21,1.1252357,0.53875172
62.744701,62744.701,1.1537516,0.58764791
62.749193,62749.193,1.1718733,0.58875829
62.755182,62755.182,1.164399,0.54902512
62.758176,62758.176,1.1286194,0.49322227
62.773148,62773.148,1.084812,0.45317835
62.776142,62776.142,1.0522559,0.44641787
62.785126,62785.126,1.0442482,0.4707773
62.789617,62789.617,1.0545686,0.49814799
62.794109,62794.109,1.0732193,0.50713688
62.7986,62798.6,1.1084895,0.4903906
62.803092,62803.092,1.1302336,0.45038104
62.807583,62807.583,1.0941921,0.38045317
62.812075,62812.075,1.0288812,0.28556025
62.819561,62819.561,0.97581404,0.19556333
62.824053,62824.053,0.95360357,0.14116909
62.834533,62834.533,0.94635499,0.14047889
62.839024,62839.024,0.94382,0.1646262
62.843516,62843.516,0.91862053,0.17386574
62.852264,62852.264,0.8725462,0.13687211
62.859835,62859.835,0.83909982,0.080071069
62.867407,62867.407,0.85476232,0.05034411
62.872454,62872.454,0.91055721,0.077193834
62.873716,62873.716,0.97180116,0.13200271
62.878764,62878.764,1.0133758,0.17447205
62.882549,62882.549,1.0321562,0.18965785
62.886335,62886.335,1.0264502,0.19056843
62.890121,62890.121,1.0020677,0.17883344
62.893906,62893.906,0.98068011,0.15633355
62.897692,62897.692,0.98438627,0.13128079
62.901478,62901.478,1.0113767,0.11480188
62.905263,62905.263,1.0316056,0.11629716
62.909049,62909.049,1.0248173,0.13409492
62.912835,62912.835,1.0056225,0.16271384
62.91662,62916.62,1.0037092,0.20000502
62.919144,62919.144,1.0214379,0.23455417
62.92293,62922.93,1.0368407,0.2469818
62.927977,62927.977,1.0287628,0.24322768
62.931763,62931.763,1.0007832,0.23832875
62.935549,62935.549,0.96878076,0.22655116
62.954477,62954.477,0.94493157,0.18918049
62.958716,62958.716,0.92726183,0.13260496
62.965577,62965.577,0.90567261,0.088744707
62.967292,62967.292,0.89092362,0.10576747
62.972437,62972.437,0.91232932,0.17497995
62.979298,62979.298,0.9886992,0.24301086
62.984444,62984.444,1.0845361,0.27344915
62.989589,62989.589,1.1476941,0.28151503
62.994734,62994.734,1.1535989,0.29128402
62.99988,62999.88,1.1345494,0.29081365
63.005025,63005.025,1.1237102,0.26354545
63.010171,63010.171,1.1354965,0.22663087
63.015316,63015.316,1.1555097,0.22360931
63.020462,63020.462,1.1736938,0.2520549
63.030753,63030.753,1.1802849,0.26017118
63.034183,63034.183,1.1722749,0.20476419
63.039329,63039.329,1.1497421,0.1182625
63.046189,63046.189,1.1220022,0.062303353
63.051335,63051.335,1.0993826,0.073080175
63.05648,63056.48,1.0792891,0.12094586
63.061626,63061.626,1.0649974,0.16877691
63.066771,63066.771,1.0669086,0.17961529
63.071917,63071.917,1.0909674,0.16917564
63.077062,63077.062,1.1243361,0.17934345
63.082208,63082.208,1.1492407,0.25000536
